,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61696,1400000US48021950501,"Census Tract 9505.01, Bastrop County, Texas",7215,200,1266,2020,3787,3824,4579,5630,5945
61697,1400000US48021950502,"Census Tract 9505.02, Bastrop County, Texas",6386,91,564,704,1565,1613,2945,4013,4573
61698,1400000US48021950600,"Census Tract 9506, Bastrop County, Texas",5500,433,882,1055,1623,1722,2667,3348,3748
61699,1400000US48021950700,"Census Tract 9507, Bastrop County, Texas",4480,164,535,982,1376,1433,2142,2947,3399
61700,1400000US48021950801,"Census Tract 9508.01, Bastrop County, Texas",7979,304,1479,1892,2960,3102,4659,5472,6491
61701,1400000US48021950802,"Census Tract 9508.02, Bastrop County, Texas",8375,372,1211,1885,2903,3737,4915,6289,6899
61702,1400000US48023950300,"Census Tract 9503, Baylor County, Texas",3461,136,575,690,1153,1245,2012,2798,3009
61703,1400000US48025950100,"Census Tract 9501, Bee County, Texas",1752,55,188,286,469,582,830,1150,1299
61704,1400000US48025950201,"Census Tract 9502.01, Bee County, Texas",1042,95,181,222,249,255,460,776,838
61705,1400000US48025950202,"Census Tract 9502.02, Bee County, Texas",5645,636,988,1427,2125,2262,2952,3477,4380
61706,1400000US48025950300,"Census Tract 9503, Bee County, Texas",5604,464,2011,2135,2703,3290,4057,4507,4820
61707,1400000US48025950400,"Census Tract 9504, Bee County, Texas",2189,208,754,925,993,1096,1582,1808,2003
61708,1400000US48025950500,"Census Tract 9505, Bee County, Texas",6072,598,1902,2146,2886,2886,4349,5403,5807
61709,1400000US48025950600,"Census Tract 9506, Bee County, Texas",2542,99,377,474,722,901,1541,1864,2077
61710,1400000US48027020100,"Census Tract 201, Bell County, Texas",7641,199,756,887,1625,1970,3301,4574,5183
61711,1400000US48027020201,"Census Tract 202.01, Bell County, Texas",8680,93,681,878,1128,1276,2764,3883,4754
61712,1400000US48027020202,"Census Tract 202.02, Bell County, Texas",7320,328,596,991,1405,1738,3090,4414,5602
