census_tract,cancer_percentage
48029181901,0.024
48029181902,0.06
48029182001,0.044000000000000004
48029182002,0.059000000000000004
48029182003,0.049
48029182101,0.084
48029182102,0.066
48029182103,0.07200000000000001
48029182105,0.059000000000000004
48029182106,0.06
48029190100,0.063
48029190200,0.065
48029190400,0.039
48029190501,0.052000000000000005
48029190503,0.05
48029190504,0.054000000000000006
48029190601,0.046
48029190603,0.051
48029190604,0.047
48029190700,0.055
48029190800,0.076
48029190901,0.063
48029190902,0.066
48029191003,0.052000000000000005
48029191004,0.044000000000000004
48029191005,0.052000000000000005
48029191006,0.052000000000000005
48029191101,0.094
48029191102,0.113
48029191201,0.075
48029191202,0.069
48029191303,0.066
48029191304,0.040999999999999995
48029191405,0.07
48029191406,0.073
48029191408,0.036000000000000004
48029191409,0.035
48029191410,0.035
48029191411,0.051
48029191412,0.07
48029191413,0.054000000000000006
48029191503,0.07
48029191504,0.084
48029191505,0.094
48029191506,0.066
48029191701,0.087
48029191702,0.079
48029191804,0.065
48029191806,0.05
48029191807,0.069
48029191808,0.047
48029191809,0.055
48029191810,0.045
48029191811,0.049
48029191812,0.05
48029191813,0.05
48029191814,0.048
48029191815,0.047
48029191816,0.064
48029191817,0.062
48029191900,0.053
48029192000,0.040999999999999995
48029192100,0.066
48029192200,0.038
48029192300,0.071
48029980001,
48029980002,
48029980003,0.015
48029980004,
48029980005,
48029980100,0.013000000000000001
48031950100,0.083
48031950200,0.081
48033950100,0.085
48035950100,0.08
48035950200,0.075
48035950300,0.096
48035950400,0.08800000000000001
48035950500,0.092
48035950600,0.099
48035950700,0.071
48037010100,0.069
48037010400,0.065
48037010500,0.044000000000000004
48037010600,0.051
48037010700,0.068
48037010800,0.063
48037010901,0.08900000000000001
48037010902,0.066
48037011000,0.068
48037011100,0.059000000000000004
48037011200,0.07200000000000001
48037011300,0.071
48037011401,0.07
48037011402,0.07
48037011501,0.053
48037011502,0.081
48037011600,0.084
48037011700,0.077
48039660100,0.071
48039660200,0.055999999999999994
48039660300,0.06
48039660400,0.052000000000000005
48039660500,0.059000000000000004
48039660601,0.067
48039660602,0.04
48039660701,0.046
48039660702,0.049
48039660801,0.05
48039660802,0.049
48039660900,0.05
48039661000,0.06
48039661100,0.054000000000000006
48039661200,0.054000000000000006
48039661300,0.055
48039661400,0.067
48039661501,0.063
48039661502,0.064
48039661601,0.063
48039661602,0.052000000000000005
48039661700,0.066
48039661800,0.06
48039661900,0.046
48039662000,0.07400000000000001
48039662100,0.062
48039662200,0.054000000000000006
48039662300,0.067
48039662400,0.066
48039662500,0.076
48039662600,0.07200000000000001
48039662700,0.07
48039662800,0.07400000000000001
48039662900,0.067
48039663000,0.053
48039663100,0.066
48039663200,0.064
48039663300,0.054000000000000006
48039663400,0.064
48039663500,0.067
48039663600,0.076
48039663700,0.053
48039663800,0.053
48039663900,0.052000000000000005
48039664000,0.051
48039664100,0.063
48039664200,0.073
48039664300,0.046
48039664400,0.053
48039664501,0.075
48039990000,
48041000101,0.061
48041000102,0.071
48041000103,0.071
48041000201,0.034
48041000202,0.051
48041000300,0.049
48041000400,0.045
48041000500,0.045
48041000603,0.040999999999999995
48041000604,0.034
48041000700,0.049
48041000800,0.07400000000000001
48041000900,0.039
48041001000,0.025
48041001100,0.065
48041001301,0.021
48041001302,0.035
48041001303,0.019
48041001400,0.011000000000000001
48041001601,0.034
48041001604,0.027000000000000003
48041001605,0.022000000000000002
48041001606,0.03
48041001701,0.013999999999999999
48041001702,0.03
48041001801,0.04
48041001803,0.04
48041001804,0.023
48041001900,0.09300000000000001
48041002001,0.075
48041002002,0.057999999999999996
48041002006,0.062
48041002007,0.031
48041002008,0.046
48041002009,0.076
48041002010,0.071
48041002011,0.064
48041002012,0.009000000000000001
48041002013,0.044000000000000004
48041002014,0.042
48041002015,0.006999999999999999
48041980000,
48043950300,0.067
48043950400,0.055999999999999994
48043950500,0.081
48045950200,0.086
48047950100,0.064
48047950200,0.062
48049950100,0.09699999999999999
48049950200,0.08900000000000001
48049950300,0.084
48049950500,0.081
48049950600,0.07
48049950700,0.037000000000000005
48049950800,0.054000000000000006
48049950900,0.069
48049951000,0.06
48049951100,0.09
48049951200,0.079
48049951300,0.069
48051970100,0.08199999999999999
48051970200,0.076
48051970300,0.07400000000000001
48051970400,0.07
48051970500,0.083
48053960100,0.07200000000000001
48053960200,0.09
48053960300,0.071
48053960400,0.092
48053960500,0.076
48053960600,0.099
48053960700,0.08
48053960800,0.078
48055960101,0.054000000000000006
48055960102,0.07
48055960200,0.051
48055960300,0.069
48055960400,0.06
48055960500,0.044000000000000004
48055960600,0.075
48055960700,0.069
48057000100,0.065
48057000200,0.054000000000000006
48057000300,0.077
48057000400,0.067
48057000500,0.079
48057990000,
48059030101,0.078
48059030102,0.075
48059030200,0.08900000000000001
48061010100,0.061
48061010201,0.051
48061010203,0.065
48061010301,0.048
48061010302,0.057999999999999996
48061010401,0.045
48061010402,0.075
48061010500,0.053
48061010601,0.05
48061010602,0.064
48061010700,0.057999999999999996
48061010800,0.049
48061010900,0.052000000000000005
48061011000,0.057
48061011100,0.055999999999999994
48061011200,0.052000000000000005
48061011301,0.059000000000000004
48061011302,0.066
48061011400,0.057
48061011500,0.049
48061011600,0.052000000000000005
48061011700,0.048
48061011801,0.061
48061011802,0.048
48061011901,0.064
48061011902,0.067
48061011903,0.046
48061012001,0.078
48061012002,0.06
48061012101,0.078
48061012102,0.045
48061012200,0.044000000000000004
48061012301,0.062
48061012304,0.061
48061012305,0.102
48061012401,0.046
48061012402,0.048
48061012504,0.04
48061012505,0.04
48061012506,0.062
48061012507,0.042
48061012508,0.062
48061012607,0.04
48061012608,0.068
48061012609,0.038
48061012612,0.048
48061012613,0.05
48061012700,0.04
48061012800,0.053
48061012900,0.07200000000000001
48061013002,0.05
48061013003,0.047
48061013004,0.065
48061013102,0.055
48061013104,0.055999999999999994
48061013106,0.051
48061013203,0.055
48061013204,0.048
48061013205,0.042
48061013206,0.037000000000000005
48061013207,0.053
48061013303,0.042
48061013305,0.043
48061013306,0.046
48061013307,0.045
48061013308,0.039
48061013309,0.039
48061013401,0.054000000000000006
48061013402,0.054000000000000006
48061013500,0.069
48061013600,0.055999999999999994
48061013700,0.052000000000000005
48061013801,0.05
48061013802,0.057
48061013901,0.052000000000000005
48061013902,0.051
48061013903,0.052000000000000005
48061014001,0.057
48061014002,0.057
48061014100,0.038
48061014200,0.040999999999999995
48061014300,0.047
48061014400,0.04
48061014500,0.040999999999999995
48061980001,
48061980100,
48061990000,
48063950101,0.071
48063950102,0.085
48063950200,0.064
48065950100,0.085
48065950200,0.079
48067950100,0.078
48067950200,0.083
48067950300,0.071
48067950400,0.079
48067950500,0.08
48067950600,0.08199999999999999
48067950700,0.08199999999999999
48069950100,0.07400000000000001
48069950200,0.063
48069950300,0.061
48071710100,0.062
48071710200,0.054000000000000006
48071710300,0.071
48071710401,0.068
48071710500,0.062
48071710600,
48071990000,
48073950100,0.07
48073950200,0.073
48073950300,0.077
48073950400,0.057
48073950500,0.06
48073950600,0.076
48073950700,0.057999999999999996
48073950801,0.079
48073950802,0.073
48073950900,0.054000000000000006
48073951000,0.078
48073951100,0.075
48075950100,0.035
48075950200,0.078
48077030200,0.08199999999999999
48077030301,0.077
48077030302,0.086
48079950100,0.067
48081950100,0.09300000000000001
48081950200,0.094
48083950300,0.083
48083950600,0.098
48083950700,0.086
48085030100,0.068
48085030201,0.067
48085030202,0.075
48085030203,0.051
48085030301,0.052000000000000005
48085030302,0.061
48085030303,0.049
48085030304,0.054000000000000006
48085030305,0.063
48085030403,0.055999999999999994
48085030404,0.051
48085030405,0.043
48085030406,0.040999999999999995
48085030407,0.055999999999999994
48085030408,0.049
48085030504,0.057
48085030505,0.032
48085030506,0.051
48085030507,0.044000000000000004
48085030508,0.053
48085030509,0.05
48085030510,0.045
48085030511,0.045
48085030512,0.045
48085030513,0.038
48085030514,0.051
48085030515,0.048
48085030516,0.04
48085030517,0.042
48085030518,0.049
48085030519,0.04
48085030520,0.039
48085030521,0.037000000000000005
48085030522,0.035
48085030523,0.044000000000000004
48085030524,0.046
48085030525,0.057999999999999996
48085030526,0.05
48085030527,0.05
48085030528,0.057999999999999996
48085030529,0.061
48085030530,0.069
48085030531,0.061
48085030601,0.067
48085030603,0.055
48085030604,0.034
48085030605,0.043
48085030701,0.052000000000000005
48085030702,0.06
48085030801,0.044000000000000004
48085030802,0.048
48085030900,0.063
48085031001,0.057
48085031003,0.055
48085031004,0.061
48085031100,0.065
48085031201,0.06
48085031202,0.053
48085031308,0.049
48085031309,0.044000000000000004
48085031310,0.053
48085031311,0.048
48085031312,0.067
48085031313,0.05
48085031314,0.071
48085031315,0.045
48085031316,0.046
48085031317,0.053
48085031405,0.049
48085031406,0.049
48085031407,0.09699999999999999
48085031408,0.049
48085031409,0.049
48085031410,0.052000000000000005
48085031411,0.052000000000000005
48085031504,0.057
48085031505,0.049
48085031506,0.054000000000000006
48085031507,0.048
48085031508,0.057999999999999996
48085031611,0.055999999999999994
48085031612,0.069
48085031613,0.073
48085031621,0.06
48085031622,0.068
48085031623,0.053
48085031624,0.061
48085031625,0.075
48085031626,0.077
48085031627,0.07200000000000001
48085031628,0.071
48085031629,0.061
48085031630,0.057999999999999996
48085031631,0.048
48085031632,0.057
48085031633,0.055999999999999994
48085031634,0.057
48085031635,0.04
48085031636,0.069
48085031637,0.059000000000000004
48085031638,0.047
48085031639,0.045
48085031640,0.046
48085031641,0.044000000000000004
48085031642,0.059000000000000004
48085031643,0.057
48085031645,0.059000000000000004
48085031646,0.055999999999999994
48085031647,0.055999999999999994
48085031648,0.06
48085031649,0.081
48085031652,0.05
48085031653,0.055999999999999994
48085031654,0.068
48085031655,0.051
48085031656,0.044000000000000004
48085031657,0.025
48085031658,0.033
48085031659,0.039
48085031660,0.031
48085031661,0.04
48085031662,0.046
48085031663,0.048
48085031664,0.055999999999999994
48085031704,0.055
48085031706,0.076
48085031708,0.068
48085031709,0.052000000000000005
48085031711,0.053
48085031712,0.040999999999999995
48085031713,0.034
48085031714,0.032
48085031715,0.066
48085031716,0.057999999999999996
48085031717,0.04
48085031718,0.067
48085031719,0.055999999999999994
48085031720,0.026000000000000002
48085031802,0.059000000000000004
48085031804,0.064
48085031805,0.078
48085031806,0.026000000000000002
48085031807,0.098
48085031900,0.038
48085032003,0.051
48085032004,0.057
48085032008,0.057
48085032009,0.061
48085032010,0.04
48085032011,0.047
48085032012,0.043
48085032013,0.036000000000000004
48087950300,0.079
48089750100,0.065
48089750200,0.08
48089750300,0.086
48089750400,0.08800000000000001
48089750500,0.079
48091310100,0.067
48091310200,0.066
48091310300,0.098
48091310401,0.053
48091310403,0.065
48091310404,0.062
48091310501,0.057999999999999996
48091310502,0.051
48091310503,0.08199999999999999
48091310603,0.077
48091310604,0.086
48091310605,0.077
48091310606,0.087
48091310607,0.092
48091310608,0.07
48091310701,0.073
48091310702,0.068
48091310703,0.073
48091310704,0.075
48091310801,0.08
48091310802,0.067
48091310901,0.08
48091310902,0.061
48091310903,0.071
48093950100,0.085
48093950200,0.09
48093950300,0.077
48093950400,0.08
48095950300,0.057999999999999996
48097000100,0.073
48097000200,0.078
48097000400,0.063
48097000500,0.061
48097000600,0.075
48097000700,0.09
48097000900,0.073
48097001100,0.07
48099010101,0.077
48099010102,0.08
48099010201,0.034
48099010202,0.071
48099010300,0.064
48099010400,0.07200000000000001
48099010501,0.021
48099010502,0.02
48099010503,0.008
48099010504,0.02
48099010601,0.047
48099010603,0.043
48099010604,0.043
48099010701,0.055
48099010702,0.057999999999999996
48099010802,0.052000000000000005
48099010803,0.057
48099010804,0.055
48099980000,
48101950100,0.09
48103950100,0.06
48105950100,0.065
48107950100,0.08
48107950200,0.07200000000000001
48107950300,0.066
48109950300,0.062
48111950100,0.069
48111950300,0.052000000000000005
48113000100,0.057
48113000201,0.061
48113000202,0.046
48113000300,0.044000000000000004
48113000401,0.032
48113000404,0.045
48113000405,0.035
48113000406,0.038
48113000500,0.048
48113000601,0.039
48113000603,0.048
48113000605,0.046
48113000606,0.08199999999999999
48113000701,0.032
48113000702,0.043
48113000800,0.031
48113000900,0.033
48113001001,0.069
48113001002,0.039
48113001101,0.04
48113001102,0.049
48113001202,0.04
48113001203,0.046
48113001204,0.038
48113001301,0.068
48113001302,0.04
48113001400,0.04
48113001502,0.036000000000000004
48113001503,0.04
48113001504,0.042
48113001600,0.046
48113001701,0.078
48113001703,0.027999999999999997
48113001704,0.034
48113001800,0.023
48113001900,0.035
48113002000,0.033
48113002100,0.025
48113002200,0.037000000000000005
48113002400,0.038
48113002500,0.046
48113002701,0.055
48113002702,0.057999999999999996
48113003101,0.032
48113003400,0.055
48113003700,0.065
48113003800,0.066
48113003901,0.057
48113003902,0.06
48113004000,0.059000000000000004
48113004100,0.051
48113004201,0.05
48113004202,0.052000000000000005
48113004300,0.045
48113004400,0.068
48113004500,0.043
48113004600,0.059000000000000004
48113004700,0.036000000000000004
48113004800,0.031
48113004900,0.055999999999999994
48113005000,0.043
48113005100,0.043
48113005200,0.042
48113005300,0.04
48113005400,0.051
48113005500,0.061
48113005600,0.043
48113005700,0.054000000000000006
48113005901,0.065
48113005902,0.076
48113006001,0.040999999999999995
48113006002,0.033
48113006100,0.055
48113006200,0.048
48113006301,0.044000000000000004
48113006302,0.043
48113006401,0.042
48113006402,0.038
48113006501,0.037000000000000005
48113006502,0.043
48113006700,0.037000000000000005
48113006800,0.047
48113006900,0.046
48113007101,0.067
48113007102,0.057
48113007201,0.025
48113007202,0.024
48113007301,0.068
48113007302,0.061
48113007601,0.08199999999999999
48113007604,0.07400000000000001
48113007605,0.10300000000000001
48113007700,0.11
48113007801,0.11800000000000001
48113007804,0.047
48113007805,0.102
48113007809,0.063
48113007810,0.06
48113007811,0.042
48113007812,0.08
48113007815,0.031
48113007818,0.036000000000000004
48113007819,0.032
48113007820,0.03
48113007821,0.027000000000000003
48113007822,0.053
48113007823,0.083
48113007824,0.08199999999999999
48113007825,0.055999999999999994
48113007826,0.04
48113007827,0.039
48113007902,0.075
48113007903,0.081
48113007906,0.091
48113007909,0.027000000000000003
48113007910,0.027000000000000003
48113007911,0.023
48113007912,0.03
48113007913,0.053
48113007914,0.043
48113008000,0.076
48113008100,0.067
48113008200,0.068
48113008400,0.04
48113008500,0.05
48113008603,0.054000000000000006
48113008604,0.046
48113008701,0.055999999999999994
48113008703,0.059000000000000004
48113008704,0.055999999999999994
48113008705,0.066
48113008801,0.077
48113008802,0.057999999999999996
48113008900,0.057
48113009000,0.044000000000000004
48113009101,0.043
48113009103,0.040999999999999995
48113009104,0.046
48113009105,0.043
48113009201,0.046
48113009202,0.04
48113009301,0.037000000000000005
48113009303,0.042
48113009304,0.043
48113009401,0.053
48113009402,0.075
48113009500,0.084
48113009603,0.084
48113009604,0.081
48113009605,0.059000000000000004
48113009607,0.08199999999999999
48113009608,0.068
48113009609,0.092
48113009610,0.023
48113009611,0.053
48113009701,0.054000000000000006
48113009702,0.077
48113009802,0.037000000000000005
48113009803,0.046
48113009804,0.023
48113009900,0.04
48113010000,0.031
48113010101,0.05
48113010102,0.043
48113010500,0.047
48113010601,0.04
48113010602,0.040999999999999995
48113010701,0.033
48113010703,0.039
48113010704,0.034
48113010801,0.044000000000000004
48113010803,0.057
48113010804,0.053
48113010805,0.044000000000000004
48113010902,0.04
48113010903,0.035
48113010904,0.033
48113011001,0.066
48113011002,0.071
48113011101,0.069
48113011103,0.052000000000000005
48113011104,0.055
48113011105,0.044000000000000004
48113011200,0.054000000000000006
48113011300,0.068
48113011401,0.046
48113011500,0.037000000000000005
48113011601,0.046
48113011602,0.039
48113011701,0.042
48113011702,0.040999999999999995
48113011800,0.04
48113011900,0.042
48113012000,0.040999999999999995
48113012100,0.037000000000000005
48113012204,0.068
48113012206,0.069
48113012207,0.04
48113012208,0.035
48113012209,0.055999999999999994
48113012210,0.045
48113012211,0.048
48113012301,0.053
48113012302,0.046
48113012400,0.065
48113012500,0.052000000000000005
48113012601,0.038
48113012603,0.063
48113012604,0.040999999999999995
48113012701,0.063
48113012702,0.05
48113012800,0.07200000000000001
48113012900,0.07200000000000001
48113013004,0.084
48113013005,0.081
48113013007,0.061
48113013008,0.076
48113013009,0.06
48113013010,0.035
48113013011,0.027000000000000003
48113013101,0.09699999999999999
48113013102,0.10099999999999999
48113013104,0.078
48113013105,0.055
48113013200,0.081
48113013300,0.081
48113013400,0.086
48113013500,0.08800000000000001
48113013605,0.081
48113013606,0.067
48113013607,0.084
48113013608,0.106
48113013609,0.057
48113013610,0.057999999999999996
48113013611,0.091
48113013615,0.035
48113013616,0.034
48113013617,0.075
48113013618,0.079
48113013619,0.081
48113013620,0.057999999999999996
48113013621,0.051
48113013622,0.07
48113013623,0.032
48113013624,0.03
48113013625,0.027000000000000003
48113013626,0.024
48113013711,0.037000000000000005
48113013712,0.054000000000000006
48113013713,0.032
48113013714,0.045
48113013715,0.044000000000000004
48113013716,0.055999999999999994
48113013717,0.04
48113013718,0.037000000000000005
48113013719,0.052000000000000005
48113013720,0.053
48113013721,0.068
48113013722,0.046
48113013725,0.046
48113013726,0.057
48113013727,0.053
48113013803,0.081
48113013804,0.073
48113013805,0.03
48113013806,0.032
48113013901,0.047
48113013902,0.073
48113014001,0.067
48113014002,0.092
48113014103,0.026000000000000002
48113014113,0.033
48113014114,0.03
48113014115,0.057
48113014116,0.027999999999999997
48113014119,0.062
48113014120,0.057999999999999996
48113014121,0.051
48113014123,0.053
48113014124,0.055
48113014126,0.053
48113014127,0.033
48113014128,0.045
48113014129,0.032
48113014130,0.037000000000000005
48113014131,0.036000000000000004
48113014132,0.04
48113014133,0.034
48113014134,0.048
48113014135,0.051
48113014136,0.027000000000000003
48113014137,0.027000000000000003
48113014138,0.03
48113014203,0.065
48113014204,0.027999999999999997
48113014205,0.08199999999999999
48113014206,0.031
48113014302,0.062
48113014306,0.054000000000000006
48113014307,0.067
48113014308,0.037000000000000005
48113014309,0.031
48113014310,0.048
48113014311,0.02
48113014312,0.045
48113014403,0.028999999999999998
48113014405,0.054000000000000006
48113014406,0.055
48113014407,0.035
48113014408,0.048
48113014501,0.068
48113014502,0.049
48113014601,0.065
48113014602,0.048
48113014603,0.040999999999999995
48113014701,0.038
48113014702,0.048
48113014703,0.045
48113014901,0.035
48113014902,0.045
48113015000,0.046
48113015100,0.051
48113015202,0.045
48113015204,0.055
48113015205,0.040999999999999995
48113015206,0.057
48113015303,0.042
48113015304,0.055999999999999994
48113015305,0.053
48113015306,0.055999999999999994
48113015401,0.064
48113015403,0.048
48113015404,0.036000000000000004
48113015500,0.052000000000000005
48113015600,0.045
48113015700,0.042
48113015800,0.044000000000000004
48113015900,0.046
