state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Angelina,48005,48005001200,2989,0.4,0.02,0.007,0.01,0.01,0.002,5e-12,1e-07,8e-08,0.007,1e-07,0.0,0.0008,0.0001
TX,EPA Region 6,Angelina,48005,48005001300,5181,0.4,0.02,0.007,0.01,0.01,0.002,6e-12,1e-07,1e-07,0.007,1e-07,0.0,0.001,0.0001
TX,EPA Region 6,Aransas,48007,48007000000,23158,0.2,0.02,0.007,0.009,0.01,0.001,2e-10,7e-07,2e-07,0.005,8e-06,0.0,0.004,7e-05
TX,EPA Region 6,Aransas,48007,48007950100,5495,0.2,0.02,0.007,0.009,0.01,0.001,6e-10,6e-07,1e-07,0.005,6e-06,0.0,0.003,8e-05
TX,EPA Region 6,Aransas,48007,48007950200,1163,0.2,0.02,0.007,0.009,0.01,0.001,2e-11,6e-07,1e-07,0.005,5e-06,0.0,0.003,8e-05
TX,EPA Region 6,Aransas,48007,48007950300,6609,0.2,0.02,0.007,0.01,0.01,0.001,2e-11,7e-07,2e-07,0.005,7e-06,0.0,0.005,8e-05
TX,EPA Region 6,Aransas,48007,48007950400,3583,0.2,0.02,0.007,0.008,0.01,0.001,2e-11,7e-07,2e-07,0.006,8e-06,0.0,0.005,7e-05
TX,EPA Region 6,Aransas,48007,48007950500,6308,0.2,0.02,0.007,0.007,0.008,0.002,2e-11,8e-07,4e-07,0.005,1e-05,0.0,0.005,7e-05
TX,EPA Region 6,Archer,48009,48009000000,9054,0.3,0.01,0.007,0.01,0.01,0.002,5e-07,1e-07,1e-05,0.006,5e-06,0.0,0.0003,0.0001
TX,EPA Region 6,Archer,48009,48009020100,2660,0.3,0.01,0.008,0.02,0.02,0.003,9e-07,2e-07,2e-05,0.007,1e-05,0.0,0.0004,0.0001
TX,EPA Region 6,Archer,48009,48009020200,2780,0.2,0.01,0.007,0.01,0.01,0.001,6e-07,7e-08,1e-05,0.006,5e-07,0.0,0.0003,0.0001
TX,EPA Region 6,Archer,48009,48009020300,3614,0.2,0.01,0.007,0.01,0.01,0.001,6e-08,3e-08,6e-06,0.006,4e-06,0.0,0.0003,0.0001
TX,EPA Region 6,Armstrong,48011,48011000000,1901,0.2,0.01,0.006,0.01,0.009,0.0008,4e-12,3e-08,2e-07,0.004,2e-05,0.0,0.0002,0.0001
TX,EPA Region 6,Armstrong,48011,48011950100,1901,0.2,0.01,0.006,0.01,0.009,0.0008,4e-12,3e-08,2e-07,0.004,2e-05,0.0,0.0002,0.0001
TX,EPA Region 6,Atascosa,48013,48013000000,44911,0.3,0.02,0.007,0.01,0.01,0.002,6e-08,5e-07,5e-07,0.007,3e-05,0.0,0.001,9e-05
TX,EPA Region 6,Atascosa,48013,48013960100,6972,0.3,0.01,0.007,0.01,0.01,0.002,2e-08,3e-07,4e-07,0.007,3e-05,0.0,0.001,9e-05
TX,EPA Region 6,Atascosa,48013,48013960201,6234,0.3,0.02,0.007,0.01,0.01,0.002,2e-07,8e-07,3e-07,0.007,9e-06,0.0,0.001,9e-05
TX,EPA Region 6,Atascosa,48013,48013960202,9342,0.3,0.01,0.007,0.01,0.01,0.002,1e-07,7e-07,4e-07,0.007,2e-05,0.0,0.0009,9e-05
TX,EPA Region 6,Atascosa,48013,48013960300,3595,0.3,0.02,0.008,0.01,0.01,0.002,6e-08,5e-07,6e-07,0.007,4e-05,0.0,0.002,0.0001
TX,EPA Region 6,Atascosa,48013,48013960401,2294,0.3,0.01,0.007,0.01,0.01,0.002,6e-08,7e-07,5e-07,0.007,3e-05,0.0,0.001,0.0001
TX,EPA Region 6,Atascosa,48013,48013960402,7801,0.3,0.02,0.007,0.01,0.02,0.002,2e-09,4e-07,5e-07,0.008,4e-05,0.0,0.002,9e-05
TX,EPA Region 6,Atascosa,48013,48013960500,2684,0.3,0.01,0.007,0.007,0.007,0.001,2e-09,2e-07,4e-07,0.006,3e-05,0.0,0.0008,8e-05
TX,EPA Region 6,Atascosa,48013,48013960600,5989,0.3,0.02,0.007,0.01,0.01,0.002,3e-09,4e-07,7e-07,0.007,6e-05,0.0,0.002,9e-05
TX,EPA Region 6,Austin,48015,48015000000,28417,0.3,0.02,0.008,0.01,0.02,0.003,3e-11,3e-07,3e-07,0.008,0.0001,8e-09,0.002,0.0001
TX,EPA Region 6,Austin,48015,48015760100,2400,0.3,0.02,0.008,0.01,0.01,0.003,4e-11,4e-07,3e-07,0.007,8e-05,3e-08,0.001,0.0001
TX,EPA Region 6,Austin,48015,48015760200,6032,0.3,0.02,0.008,0.02,0.02,0.003,5e-11,5e-07,4e-07,0.009,0.0001,2e-08,0.002,0.0001
TX,EPA Region 6,Austin,48015,48015760300,7037,0.3,0.02,0.008,0.02,0.02,0.003,4e-11,5e-07,2e-07,0.009,0.0001,4e-09,0.002,0.0001
TX,EPA Region 6,Austin,48015,48015760400,3660,0.3,0.01,0.007,0.009,0.01,0.002,7e-12,1e-07,3e-07,0.006,4e-05,0.0,0.0008,0.0001
