state,epa_region,county,fips,tract,population,total_cancer_risk_(per_million),pt-stationarypoint_cancer_risk_(per_million),or-lightduty-offnetwork-gas_cancer_risk_(per_million),or-lightduty-offnetwork-diesel_cancer_risk_(per_million),or-heavyduty-offnetwork-gas_cancer_risk_(per_million),or-heavyduty-offnetwork-diesel_cancer_risk_(per_million),or-lightduty-onnetwork-gas_cancer_risk_(per_million),or-lightduty-onnetwork-diesel_cancer_risk_(per_million),or-heavyduty-onnetwork-gas_cancer_risk_(per_million),or-heavyduty-onnetwork-diesel_cancer_risk_(per_million),or-refueling_cancer_risk_(per_million),or-heavyduty-hoteling_cancer_risk_(per_million),nr-recreational-inc-pleasurecraft_cancer_risk_(per_million),nr-construction_cancer_risk_(per_million),nr-commerciallawngarden_cancer_risk_(per_million),nr-residentiallawngarden_cancer_risk_(per_million),nr-agriculture_cancer_risk_(per_million),nr-commercialequipment_cancer_risk_(per_million),nr-allother_cancer_risk_(per_million),nr-cmv_c1c2_ports_cancer_risk_(per_million),nr-cmv_c3_ports_cancer_risk_(per_million),nr-cmv_c1c2c3_underway_cancer_risk_(per_million),nr-locomotives_cancer_risk_(per_million),nr-point-airports_cancer_risk_(per_million),nr-_point-railyards_cancer_risk_(per_million),np-industrial_cancer_risk_(per_million),np-commercialcooking_cancer_risk_(per_million),np-oilgas_cancer_risk_(per_million),np-solventscoatings_cancer_risk_(per_million),np-storagetransfer_bulkterminals_gasstage1_cancer_risk_(per_million),np-miscellaneousnonindustrial_cancer_risk_(per_million),np-fuelcombustion_not_rwc_cancer_risk_(per_million),np-residentialwoodcombustionrwc_cancer_risk_(per_million),np-wastedisposal_cancer_risk_(per_million),np-agriculturelivestock_cancer_risk_(per_million),fire_cancer_risk_(per_million),biogenics_cancer_risk_(per_million),secondary_cancer_risk_(per_million),background_cancer_risk_(per_million)
TX,EPA Region 6,Entire State,48000,48000000000,25145250,30,4.2066898095687,1.04069088650435,0.04252933631891,0.008692597400805,0.008254281108979,0.504640892865778,0.065296229443822,0.014068794475756,0.188894203395597,0.027789248567554,0.244506318376406,0.085943905107874,0.136990886151003,0.0573144659861,0.094204668411476,0.022137889722728,0.153909583111963,0.036934240473807,0.001548513038945,0.005054264630576,0.016152932715782,0.005774732959293,0.129037715040778,0.001074672844918,0.0,0.056666583144481,0.272101017850881,0.091434201506612,0.046831976915338,0.032578549192209,0.125574358674235,0.262800694427059,0.389018276269763,0.001742211591364,1.08504132440298,2.17140117220866,16.7299047604616,2.9657628084827
TX,EPA Region 6,Anderson,48001,48001000000,58458,30,0.260001112904029,0.330957836011324,0.014332610145729,0.004059163267418,0.002135586026666,0.320148979699024,0.04191542199079,0.007767641778655,0.069117707095376,0.016244943628714,0.067737491877666,0.060711223916493,0.020388451911839,0.008704686101203,0.026617836739315,0.05591560591449,0.018341821251095,0.008297204420914,0.0,0.0,0.0,0.003551614209085,0.005743672253486,0.00035117247474,0.0,0.009164579386427,0.231209674257503,0.023681994445913,0.02142817402491,0.006421582922216,0.042033976307566,0.152507821298607,1.33128973763177,0.006066480081787,1.88469200509777,2.91353645352218,17.4628993465393,3.0
TX,EPA Region 6,Anderson,48001,48001950100,4685,30,0.380271489968792,0.339550668050723,0.012715586878491,0.001990194141224,0.001003292613255,0.272255230821329,0.033184134423964,0.006650711764514,0.057584974886287,0.013989797031878,0.020804752005963,0.094126144575588,0.014648280469042,0.0127717754342,0.024563757575104,0.048830719943814,0.015084076468449,0.009660033245317,0.0,0.0,0.0,0.002428160602093,0.005642015289344,1.4147834923e-05,0.0,0.004478706714652,0.210005713417071,0.019287431357923,0.026585606719077,0.005775346306257,0.058395532691339,0.133818702398006,1.34941544081845,0.004030495761499,1.75193166211286,2.93922305229455,17.4969037353255,3.0
TX,EPA Region 6,Anderson,48001,48001950401,5422,30,0.13281896006627,0.237774451387915,0.009637812618452,0.001863101628282,0.000804494404276,0.114093903775168,0.014802594833756,0.003429882456355,0.031661471920734,0.006412587900901,0.019039000705359,0.061436481401088,0.02084913852115,0.006257434285457,0.019510261631878,0.071641816640347,0.007816344720098,0.004471018901931,0.0,0.0,0.0,0.002824843991678,0.004376603067594,4.0984883161e-05,0.0,0.003543611217895,0.303816050047904,0.015834467420838,0.015203837402308,0.003847277122524,0.016860213454902,0.116102819686759,0.99953875420273,0.00872204119325,1.827711,2.996,17.426,3.0
TX,EPA Region 6,Anderson,48001,48001950402,7535,30,0.41250376092362,0.202215654496829,0.00799429329827,0.00163850852814,0.000721478193483,0.104079926231099,0.01290290572907,0.00322413844621,0.029028771170045,0.005857696091848,0.019294936960662,0.078012883337941,0.02244153719939,0.00540559756184,0.016276010677559,0.081781647767661,0.006090256982799,0.003900365015141,0.0,0.0,0.0,0.002458601579244,0.005778457996227,5.127507633e-05,0.0,0.002165287858633,0.32839857818237,0.017394998877284,0.011325480912242,0.003631401240085,0.017796214459242,0.105359115950234,1.08169560932667,0.009623256681219,2.060214,2.866,17.36,3.0
TX,EPA Region 6,Anderson,48001,48001950500,4377,30,0.145874249472207,0.414893411347469,0.01818607303705,0.00633885461563,0.003324367178458,0.688343974606881,0.08731349472239,0.015954733776532,0.134753787262313,0.034952870569429,0.110257721312573,0.041416175424102,0.019996994409237,0.009596843220329,0.031700550193811,0.039808070876446,0.026721515744836,0.009161971023313,0.0,0.0,0.0,0.003177375787626,0.00295898824751,0.000989629980101,0.0,0.013925019838679,0.141193919171192,0.027929857299614,0.029863467111625,0.008141583147381,0.048944915750838,0.178191369537977,1.37412790169865,0.004307021644574,1.87785143431581,2.7153881654101,17.4481407356637,3.0
TX,EPA Region 6,Anderson,48001,48001950600,6405,30,0.150170150667258,0.438791807366071,0.020792103796478,0.007468550861841,0.004168528451414,0.570632251044164,0.077417684862852,0.013204813425146,0.120602028139403,0.028520541754995,0.096225430909905,0.038349611270787,0.027291038961102,0.010746725269456,0.039215033267807,0.041455479376946,0.034607124447523,0.011044067785896,0.0,0.0,0.0,0.005285370035878,0.005270274060768,0.000628241989544,0.0,0.019717767539207,0.129932115907885,0.034475507464993,0.031444258441557,0.010190310556667,0.053335939577764,0.215555620002133,1.61197133753356,0.0044577239356,1.83500976861815,2.81684309133489,17.4654042154566,3.0
TX,EPA Region 6,Anderson,48001,48001950700,2640,30,0.154604024620039,0.401327093170107,0.019162803138527,0.006617498228338,0.003763175824933,0.779905630976564,0.106832572111327,0.017795178415693,0.162615959315297,0.039248412319801,0.25376984044506,0.038207687663239,0.024700620101726,0.010347800137055,0.036531057572793,0.040575056510824,0.031997438616903,0.010781979410642,0.0,0.0,0.0,0.004900902729137,0.003564481286108,0.003350754081077,0.0,0.017833049593607,0.137198505607526,0.031494628152368,0.029565857085356,0.009570898031632,0.051962570663294,0.203926936579972,1.45808103789449,0.004242323876887,1.8341849151518,2.81883712121212,17.4657416666666,3.0
TX,EPA Region 6,Anderson,48001,48001950800,5246,30,0.171028376048839,0.382228234665709,0.018259448274204,0.005868579751127,0.003344297193304,0.667789954293852,0.091531400766127,0.015295716652961,0.14034656685818,0.03298689354524,0.223784368176973,0.040054946155559,0.021913621316568,0.00958475456654,0.032642263429622,0.039628717642914,0.027139465928629,0.010347077630505,0.0,0.0,0.0,0.004802410813974,0.002579726715944,0.000263651206786,0.0,0.014877487530309,0.14776541893443,0.02768127946133,0.023997740018191,0.008431181988059,0.048252415338595,0.183783046419169,1.33935465061039,0.004043415486981,1.8276415794895,2.88097140678612,17.4726755623332,3.0
TX,EPA Region 6,Anderson,48001,48001950901,5938,30,0.155124588802443,0.366639363469971,0.016481687860766,0.005259527125826,0.002760734131547,0.21001122246663,0.027696373085823,0.005410906295635,0.048821136597179,0.010950553630896,0.033470216130209,0.049237983738379,0.024744425263319,0.008811480460184,0.030961888486845,0.054854977551153,0.023125577602776,0.008263189074419,0.0,0.0,0.0,0.004271492461392,0.018009975690763,6.7669263174e-05,0.0,0.012365355548428,0.18013143010005,0.028337988296997,0.024577342128132,0.007473137859378,0.039530338960031,0.171679260225012,1.49612812000785,0.006847962126286,1.83450754429089,2.89576086224317,17.4490262714718,3.0
