,id,geoid,households,below_poverty,hh_snap,hh_nowork
61703,1400000US48025950100,"Census Tract 9501, Bee County, Texas",612,56,30,26.7
61704,1400000US48025950201,"Census Tract 9502.01, Bee County, Texas",345,52,14,18.7
61705,1400000US48025950202,"Census Tract 9502.02, Bee County, Texas",1677,225,192,21.9
61706,1400000US48025950300,"Census Tract 9503, Bee County, Texas",1998,501,445,12.3
61707,1400000US48025950400,"Census Tract 9504, Bee County, Texas",628,185,116,14.4
61708,1400000US48025950500,"Census Tract 9505, Bee County, Texas",2189,596,463,17.6
61709,1400000US48025950600,"Census Tract 9506, Bee County, Texas",820,133,61,19.2
61710,1400000US48027020100,"Census Tract 201, Bell County, Texas",2445,136,181,17.8
61711,1400000US48027020201,"Census Tract 202.01, Bell County, Texas",2816,113,171,14.2
61712,1400000US48027020202,"Census Tract 202.02, Bell County, Texas",2700,146,102,19.9
61713,1400000US48027020300,"Census Tract 203, Bell County, Texas",3606,277,108,10.2
61714,1400000US48027020401,"Census Tract 204.01, Bell County, Texas",1298,285,299,10.7
61715,1400000US48027020402,"Census Tract 204.02, Bell County, Texas",925,141,218,16.1
61716,1400000US48027020500,"Census Tract 205, Bell County, Texas",1329,81,279,15.8
61717,1400000US48027020600,"Census Tract 206, Bell County, Texas",964,178,191,13.5
61718,1400000US48027020701,"Census Tract 207.01, Bell County, Texas",746,357,268,14.1
61719,1400000US48027020702,"Census Tract 207.02, Bell County, Texas",588,178,176,18.8
61720,1400000US48027020800,"Census Tract 208, Bell County, Texas",999,370,379,20.6
61721,1400000US48027020900,"Census Tract 209, Bell County, Texas",977,364,420,35.5
61722,1400000US48027021000,"Census Tract 210, Bell County, Texas",1671,267,491,9.3
61723,1400000US48027021100,"Census Tract 211, Bell County, Texas",2110,407,356,24.1
61724,1400000US48027021201,"Census Tract 212.01, Bell County, Texas",1607,154,134,13.3
61725,1400000US48027021202,"Census Tract 212.02, Bell County, Texas",1549,152,89,20.9
61726,1400000US48027021203,"Census Tract 212.03, Bell County, Texas",1999,166,120,22.7
61727,1400000US48027021301,"Census Tract 213.01, Bell County, Texas",2068,93,230,17.9
61728,1400000US48027021302,"Census Tract 213.02, Bell County, Texas",1261,100,51,25.4
61729,1400000US48027021303,"Census Tract 213.03, Bell County, Texas",3647,390,383,15.0
61730,1400000US48027021400,"Census Tract 214, Bell County, Texas",1463,167,74,10.4
61731,1400000US48027021500,"Census Tract 215, Bell County, Texas",2241,376,378,13.4
61732,1400000US48027021601,"Census Tract 216.01, Bell County, Texas",2044,406,353,6.6
61733,1400000US48027021602,"Census Tract 216.02, Bell County, Texas",454,103,36,16.4
61734,1400000US48027021700,"Census Tract 217, Bell County, Texas",3757,499,289,19.4
61735,1400000US48027021800,"Census Tract 218, Bell County, Texas",3277,444,397,15.9
61736,1400000US48027021901,"Census Tract 219.01, Bell County, Texas",1175,99,147,16.0
61737,1400000US48027021903,"Census Tract 219.03, Bell County, Texas",3080,62,227,11.9
61738,1400000US48027021904,"Census Tract 219.04, Bell County, Texas",4089,639,410,17.1
61739,1400000US48027022000,"Census Tract 220, Bell County, Texas",2825,684,586,16.2
61740,1400000US48027022101,"Census Tract 221.01, Bell County, Texas",1724,341,243,12.8
61741,1400000US48027022103,"Census Tract 221.03, Bell County, Texas",1840,262,329,8.6
61742,1400000US48027022104,"Census Tract 221.04, Bell County, Texas",1773,285,404,16.5
61743,1400000US48027022105,"Census Tract 221.05, Bell County, Texas",765,67,146,10.4
61744,1400000US48027022200,"Census Tract 222, Bell County, Texas",1618,270,303,8.6
61745,1400000US48027022300,"Census Tract 223, Bell County, Texas",1681,502,503,14.4
61746,1400000US48027022401,"Census Tract 224.01, Bell County, Texas",2160,399,478,11.5
61747,1400000US48027022402,"Census Tract 224.02, Bell County, Texas",2301,195,110,10.2
61748,1400000US48027022403,"Census Tract 224.03, Bell County, Texas",1550,137,144,13.7
61749,1400000US48027022404,"Census Tract 224.04, Bell County, Texas",2547,161,150,9.0
61750,1400000US48027022405,"Census Tract 224.05, Bell County, Texas",1139,83,84,5.2
61751,1400000US48027022501,"Census Tract 225.01, Bell County, Texas",1206,190,227,13.8
61752,1400000US48027022502,"Census Tract 225.02, Bell County, Texas",4499,329,394,3.9
